i,lst,ts,td,lcp,cp,cd,r,dr,rt
0,1767182402,1767204002,21600,72,70,2,8,11,6
1,1767160801,1767182402,21601,73,72,1,3,12,6
2,1767139200,1767160801,21601,74,73,1,3,12,6
3,1767096000,1767139200,43200,78,74,4,8,10,7
4,1767074401,1767096000,21599,81,78,3,12,11,7
5,1767052800,1767074401,21601,82,81,1,3,13,6
6,1767031201,1767052800,21599,85,82,3,12,13,6
7,1767009600,1767031201,21601,87,85,2,7,17,5
8,1766988000,1767009600,21600,88,87,1,4,14,6
9,1766966400,1766988000,21600,89,88,1,4,14,6
10,1766944801,1766966400,21599,91,89,2,8,14,6
11,1766923201,1766944801,21600,94,91,3,12,15,6
12,1766901600,1766923201,21601,95,94,1,3,23,4
13,1766880001,1766901600,21599,96,95,1,4,19,5
14,1766858400,1766880001,21601,98,96,2,7,19,5
15,1766836801,1766858400,21599,99,98,1,4,24,4
