i,lst,ts,td,lcp,cp,cd,r,dr,rt
0,1767074401,1767096000,21599,81,78,3,12,11,7
1,1767052800,1767074401,21601,82,81,1,3,13,6
2,1767031201,1767052800,21599,85,82,3,12,13,6
3,1767009600,1767031201,21601,87,85,2,7,17,5
4,1766988000,1767009600,21600,88,87,1,4,14,6
5,1766966400,1766988000,21600,89,88,1,4,14,6
6,1766944801,1766966400,21599,91,89,2,8,14,6
7,1766923201,1766944801,21600,94,91,3,12,15,6
8,1766901600,1766923201,21601,95,94,1,3,23,4
9,1766880001,1766901600,21599,96,95,1,4,19,5
10,1766858400,1766880001,21601,98,96,2,7,19,5
11,1766836801,1766858400,21599,99,98,1,4,24,4
12,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,-1,-1
